"3.8442068/-1.6867437/2.2359161/Thu Nov 05 00:22:10 IST 2015,"
"7.100014/-4.5502853/17.024343/Thu Nov 05 00:22:10 IST 2015,"
"7.2961473/-17.102797/13.140911/Thu Nov 05 00:22:10 IST 2015,"
"2.5105023/-9.610517/7.5707335/Thu Nov 05 00:22:10 IST 2015,"
"3.412714/-8.355266/3.80498/Thu Nov 05 00:22:10 IST 2015,"
"12.395605/-11.964112/-0.70607877/Thu Nov 05 00:22:10 IST 2015,"
"5.570177/-6.550842/-0.0392266/Thu Nov 05 00:22:10 IST 2015,"
"3.9226599/-7.963/-2.9027684/Thu Nov 05 00:22:10 IST 2015,"
"4.628739/-10.395049/-3.6088471/Thu Nov 05 00:22:10 IST 2015,"
"3.1381278/-10.904995/-3.1773546/Thu Nov 05 00:22:10 IST 2015,"
"1.9221034/-8.747532/-2.0005565/Thu Nov 05 00:22:10 IST 2015,"
"0.8629852/-6.6292953/3.80498/Thu Nov 05 00:22:10 IST 2015,"
"2.2751427/-8.119906/-0.8237586/Thu Nov 05 00:22:10 IST 2015,"
"1.7259704/-8.590625/0.78453195/Thu Nov 05 00:22:10 IST 2015,"
"1.9613299/-8.825985/0.0392266/Thu Nov 05 00:22:10 IST 2015,"
"3.6088471/-11.179581/0.5099458/Thu Nov 05 00:22:10 IST 2015,"
"3.2558076/-10.9442215/-0.0392266/Thu Nov 05 00:22:11 IST 2015,"
"1.4121575/-11.807206/-1.5690639/Thu Nov 05 00:22:11 IST 2015,"
"-0.0784532/-15.180694/-2.1574628/Thu Nov 05 00:22:11 IST 2015,"
"2.2359161/-14.043122/0.98066497/Thu Nov 05 00:22:11 IST 2015,"
"4.707192/-13.140911/-0.3138128/Thu Nov 05 00:22:11 IST 2015,"
"5.5309505/-13.023231/-1.7651969/Thu Nov 05 00:22:11 IST 2015,"
"7.139241/-12.9447775/-1.372931/Thu Nov 05 00:22:11 IST 2015,"
"6.864655/-9.218251/-0.588399/Thu Nov 05 00:22:11 IST 2015,"
"3.216581/-6.0408964/-1.3337044/Thu Nov 05 00:22:11 IST 2015,"
"1.0983448/-4.981778/-2.0005565/Thu Nov 05 00:22:11 IST 2015,"
"0.0784532/-4.001113/-2.6281822/Thu Nov 05 00:22:11 IST 2015,"
"-0.39226598/-2.353596/-2.5497289/Thu Nov 05 00:22:11 IST 2015,"
"2.0397832/-1.4513842/-1.176798/Thu Nov 05 00:22:11 IST 2015,"
"4.4718323/-0.98066497/2.7066352/Thu Nov 05 00:22:11 IST 2015,"
"11.29726/-19.37794/18.358047/Thu Nov 05 00:22:11 IST 2015,"
"5.0210047/-15.6906395/10.512729/Thu Nov 05 00:22:11 IST 2015,"
"7.5707335/-14.043122/6.746975/Thu Nov 05 00:22:11 IST 2015,"
"5.570177/-10.473502/-1.5298374/Thu Nov 05 00:22:11 IST 2015,"
"2.941995/-4.0795665/-1.8828768/Thu Nov 05 00:22:11 IST 2015,"
"2.0005565/-2.4712758/-1.4121575/Thu Nov 05 00:22:11 IST 2015,"
"5.060231/-9.022118/-2.5497289/Thu Nov 05 00:22:11 IST 2015,"
"7.335374/-13.49395/-3.1381278/Thu Nov 05 00:22:11 IST 2015,"
"3.5303938/-9.179024/-1.6082906/Thu Nov 05 00:22:11 IST 2015,"
"0.0784532/-6.158576/2.3928225/Thu Nov 05 00:22:11 IST 2015,"
"0.35303938/-8.943665/0.588399/Thu Nov 05 00:22:11 IST 2015,"
"1.5298374/-8.904438/0.3138128/Thu Nov 05 00:22:12 IST 2015,"
"3.0989013/-8.433719/0.70607877/Thu Nov 05 00:22:12 IST 2015,"
"3.9226599/-11.061901/0.4707192/Thu Nov 05 00:22:12 IST 2015,"
"1.372931/-11.336487/-0.3138128/Thu Nov 05 00:22:12 IST 2015,"
"-0.8629852/-13.964669/-2.432049/Thu Nov 05 00:22:12 IST 2015,"
"-0.35303938/-14.749201/-1.8436501/Thu Nov 05 00:22:12 IST 2015,"
"4.9425516/-12.591739/0.9022118/Thu Nov 05 00:22:12 IST 2015,"
"3.6480737/-12.827098/-0.78453195/Thu Nov 05 00:22:12 IST 2015,"
"5.88399/-13.925443/-1.5298374/Thu Nov 05 00:22:12 IST 2015,"
"9.728196/-12.513285/-0.9414384/Thu Nov 05 00:22:12 IST 2015,"
"8.786758/-9.767424/0.0784532/Thu Nov 05 00:22:12 IST 2015,"
"4.3541527/-5.570177/0.19613299/Thu Nov 05 00:22:12 IST 2015,"
"1.7259704/-4.589512/-2.0397832/Thu Nov 05 00:22:12 IST 2015,"
"-0.19613299/-4.0795665/-1.9221034/Thu Nov 05 00:22:12 IST 2015,"
"-0.5099458/-2.9812214/-2.2359161/Thu Nov 05 00:22:12 IST 2015,"
"0.9022118/-2.4712758/-0.74530536/Thu Nov 05 00:22:12 IST 2015,"
"3.4911673/-3.0989013/2.0397832/Thu Nov 05 00:22:12 IST 2015,"
"11.375713/-19.103354/17.53429/Thu Nov 05 00:22:12 IST 2015,"
"7.8845463/-11.846433/11.375713/Thu Nov 05 00:22:12 IST 2015,"
"5.1779113/-3.0596747/7.2961473/Thu Nov 05 00:22:12 IST 2015,"
"5.0210047/-5.76631/-1.2944778/Thu Nov 05 00:22:12 IST 2015,"
"6.080123/-14.435389/2.0397832/Thu Nov 05 00:22:12 IST 2015,"
"5.3348174/-10.551955/0.1176798/Thu Nov 05 00:22:12 IST 2015,"
"3.9226599/-8.551398/-2.3928225/Thu Nov 05 00:22:12 IST 2015,"
"2.7850885/-9.492837/-3.1381278/Thu Nov 05 00:22:12 IST 2015,"
"1.9221034/-10.787314/-3.3734875/Thu Nov 05 00:22:13 IST 2015,"
"0.8237586/-8.551398/-1.5690639/Thu Nov 05 00:22:13 IST 2015,"
"1.372931/-6.3939357/0.98066497/Thu Nov 05 00:22:13 IST 2015,"
"2.3143694/-7.256921/-0.1176798/Thu Nov 05 00:22:13 IST 2015,"
"3.1773546/-9.92433/0.8629852/Thu Nov 05 00:22:13 IST 2015,"
"3.1381278/-9.728196/-0.0784532/Thu Nov 05 00:22:13 IST 2015,"
"3.216581/-9.492837/-0.0784532/Thu Nov 05 00:22:13 IST 2015,"
"2.0005565/-10.904995/-1.1375713/Thu Nov 05 00:22:13 IST 2015,"
"0.3138128/-11.29726/-0.5491724/Thu Nov 05 00:22:13 IST 2015,"
"0.5099458/-13.062457/-1.176798/Thu Nov 05 00:22:13 IST 2015,"
"1.6475172/-14.435389/-1.0198916/Thu Nov 05 00:22:13 IST 2015,"
"3.7657535/-12.434832/0.9414384/Thu Nov 05 00:22:13 IST 2015,"
"4.903325/-11.846433/-0.0/Thu Nov 05 00:22:13 IST 2015,"
"5.4524975/-13.337044/-0.8629852/Thu Nov 05 00:22:13 IST 2015,"
"6.158576/-12.787871/-1.176798/Thu Nov 05 00:22:13 IST 2015,"
"5.7270837/-8.904438/-0.78453195/Thu Nov 05 00:22:13 IST 2015,"
"3.4519408/-5.9232163/-1.0198916/Thu Nov 05 00:22:13 IST 2015,"
"1.2944778/-4.864098/-0.98066497/Thu Nov 05 00:22:13 IST 2015,"
"0.588399/-3.8442068/-1.6867437/Thu Nov 05 00:22:13 IST 2015,"
"0.588399/-3.5303938/-1.3337044/Thu Nov 05 00:22:13 IST 2015,"
"2.2359161/-2.4712758/-0.3138128/Thu Nov 05 00:22:13 IST 2015,"
"7.7668667/-5.0210047/5.64863/Thu Nov 05 00:22:13 IST 2015,"
"7.1784678/-17.926556/14.160802/Thu Nov 05 00:22:13 IST 2015,"
"3.412714/-7.923773/9.179024/Thu Nov 05 00:22:13 IST 2015,"
"4.864098/-8.1983595/1.4513842/Thu Nov 05 00:22:13 IST 2015,"
